date,portfolio_value,cash,n_positions,portfolio_return,sp500_value,sp500_return
2024-02-29,113429.93750415796,113429.93750415796,0,13.429937504157952,155.0346221923828,-1.9132344235650356
2024-03-01,113429.93750415796,113429.93750415796,0,13.429937504157952,155.7455291748047,-1.4634602663775143
2024-03-04,113373.6016128158,57037.71027065271,5,13.3736016128158,153.55517578125,-2.849245433619363
2024-03-05,113086.31676174157,57037.71027065271,5,13.086316761741568,153.6800537109375,-2.770238099375466
2024-03-06,112549.7750136947,57037.71027065271,5,12.549775013694697,153.07481384277344,-3.153159154212204
2024-03-07,113808.73764492029,57037.71027065271,5,13.808737644920278,152.62330627441406,-3.4388173922714094
2024-03-08,114243.87367702478,57037.71027065271,5,14.243873677024776,153.24778747558594,-3.043722797786408
2024-03-11,115198.65158534997,57037.71027065271,5,15.198651585349964,154.89051818847656,-2.00440564357961
2024-03-12,115549.29474330896,57037.71027065271,5,15.54929474330895,156.34115600585938,-1.0866211544261262
2024-03-13,116094.27345729822,57037.71027065271,5,16.094273457298215,154.76564025878906,-2.0834129778234955
2024-03-14,117492.63733364099,57037.71027065271,5,17.492637333640992,152.949951171875,-3.2321568345784923
2024-03-15,116681.5018508529,57037.71027065271,5,16.68150185085291,151.96043395996094,-3.8582011427874097
2024-03-18,119365.14664684287,119365.14664684287,0,19.36514664684288,150.5962677001953,-4.721277107605593
2024-03-19,119365.14664684287,119365.14664684287,0,19.36514664684288,150.0679168701172,-5.055552273237174
2024-03-20,119365.14664684287,119365.14664684287,0,19.36514664684288,149.63558959960938,-5.329075587158494
2024-03-21,119365.14664684287,119365.14664684287,0,19.36514664684288,149.6259765625,-5.3351575300438325
2024-03-22,119365.14664684287,119365.14664684287,0,19.36514664684288,149.12644958496094,-5.651196520896972
2024-03-25,119365.14664684287,119365.14664684287,0,19.36514664684288,149.11683654785156,-5.657278463782323
2024-03-26,119365.14664684287,119365.14664684287,0,19.36514664684288,149.64520263671875,-5.322993644273144
2024-03-27,119365.14664684287,119365.14664684287,0,19.36514664684288,151.7490997314453,-3.99190734748901
2024-03-28,119365.14664684287,119365.14664684287,0,19.36514664684288,151.97007751464844,-3.8520998921468763
2024-04-01,119365.14664684287,119365.14664684287,0,19.36514664684288,151.576171875,-4.101314742282014
2024-04-02,119365.14664684287,119365.14664684287,0,19.36514664684288,151.52813720703125,-4.131705148953535
2024-04-03,119365.14664684287,119365.14664684287,0,19.36514664684288,148.19456481933594,-6.240778133426628
2024-04-04,119365.14664684287,119365.14664684287,0,19.36514664684288,146.50376892089844,-7.310505002060141
2024-04-05,119365.14664684287,119365.14664684287,0,19.36514664684288,146.3981170654297,-7.377348450533338
2024-04-08,119365.14664684287,119365.14664684287,0,19.36514664684288,145.62954711914062,-7.863604611155328
2024-04-09,119365.14664684287,119365.14664684287,0,19.36514664684288,146.30203247070312,-7.438138917753978
2024-04-10,119365.14664684287,119365.14664684287,0,19.36514664684288,144.29421997070312,-8.708434747317472
2024-04-11,119365.14664684287,119365.14664684287,0,19.36514664684288,142.9396514892578,-9.565438423127915
2024-04-12,119365.14664684287,119365.14664684287,0,19.36514664684288,141.71958923339844,-10.337343167931524
2024-04-15,119365.14664684287,119365.14664684287,0,19.36514664684288,141.78684997558594,-10.294788875489303
2024-04-16,119365.14664684287,119365.14664684287,0,19.36514664684288,138.7703094482422,-12.203283245154816
2024-04-17,119365.14664684287,119365.14664684287,0,19.36514664684288,139.07774353027344,-12.008776919354979
2024-04-18,119365.14664684287,119365.14664684287,0,19.36514664684288,140.00958251953125,-11.419224268458116
2024-04-19,119365.14664684287,119365.14664684287,0,19.36514664684288,142.09426879882812,-10.100292203567074
2024-04-22,119365.14664684287,119365.14664684287,0,19.36514664684288,143.25668334960938,-9.364859808320325
2024-04-23,119365.14664684287,119365.14664684287,0,19.36514664684288,143.6793670654297,-9.09743774503955
2024-04-24,119365.14664684287,119365.14664684287,0,19.36514664684288,142.68988037109375,-9.723462745493283
2024-04-25,119365.14664684287,119365.14664684287,0,19.36514664684288,141.04713439941406,-10.762789553577667
2024-04-26,119365.14664684287,119365.14664684287,0,19.36514664684288,140.3938446044922,-11.176110668963513
2024-04-29,119365.14664684287,119365.14664684287,0,19.36514664684288,141.04713439941406,-10.762789553577667
2024-04-30,119305.46558742516,59624.40616970055,5,19.305465587425164,138.90480041503906,-12.118193968025581
2024-05-01,120165.43461208337,59624.40616970055,5,20.165434612083356,145.23568725585938,-8.112790499657674
2024-05-02,120609.98585109704,59624.40616970055,5,20.609985851097036,144.02523803710938,-8.878613301575932
2024-05-03,121962.01176052087,59624.40616970055,5,21.96201176052086,143.40078735351562,-9.27368858830575
2024-05-06,123016.66263942712,59624.40616970055,5,23.01666263942712,142.7379150390625,-9.69307233882175
2024-05-07,122372.83176784508,59624.40616970055,5,22.37283176784508,142.87240600585938,-9.607983061692526
2024-05-08,122556.79020290368,59624.40616970055,5,22.556790202903688,143.09335327148438,-9.468194914105588
2024-05-09,122829.64374904626,59624.40616970055,5,22.82964374904626,143.95799255371094,-8.921157940140557
2024-05-10,123200.60688381188,59624.40616970055,5,23.200606883811894,144.015625,-8.884695244461282
2024-05-13,123044.2540395736,59624.40616970055,5,23.044254039573598,145.27410888671875,-8.088482035871492
2024-05-14,123479.60499172204,59624.40616970055,5,23.479604991722034,145.42782592773438,-7.991228872971579
2024-05-15,124596.04206447594,59624.40616970055,5,24.59604206447594,146.6671142578125,-7.207160242397281
2024-05-16,124275.08686428063,59624.40616970055,5,24.275086864280638,148.2137908935547,-6.228614247655939
2024-05-17,124155.30338649743,59624.40616970055,5,24.15530338649743,148.55963134765625,-6.009809111947528
2024-05-20,124943.11283473962,59624.40616970055,5,24.943112834739622,146.49685668945312,-7.314878208611031
